"","phylum","TFZ002_8073","TFZ002_8070","TFZ002_8004","TFZ002_8003","TFZ002_8001","TFZ002_8000","Stahl_21","Stahl_20","Stahl_19","Stahl_18","Stahl_17","Stahl_16","Stahl_15","Stahl_14","Stahl_13","Stahl_12","Stahl_11","Stahl_10","Stahl_09","Stahl_08","Stahl_07","Stahl_06","Stahl_05","Stahl_04","Stahl_03","Stahl_02","Stahl_01","RS0001_1223","RS0001_1222","RS0001_1221","RS0001_1218","RS0001_1206","RS0001_1197","RS0001_1196","RS0001_1181","RS0001_1180","RS0001_1173","RS0001_1171","HG0155_0057","HG0155_0056","HG0155_0055","HG0155_0049","HG0155_0048","HG0155_0047","HG0001_9881","HG0001_9880","HG0001_9879","HG0001_9878","HG0001_9877","HG0001_9876","Geiger_10","Geiger_09","Geiger_08","Geiger_07","Geiger_06","Geiger_05","Geiger_02","Geiger_01"
"Chlorobi","Chlorobi",656,410,428,469,555,378,456,432,408,378,296,567,776,652,526,607,317,NA,184,156,261,175,143,245,232,59,NA,318,386,434,375,309,470,294,451,347,401,354,726,528,390,454,521,402,150,158,281,191,183,196,170,99,60,76,70,73,44,96
"Chloroflexi","Chloroflexi",5065,2896,2992,2508,3368,2044,3465,2385,2453,1718,2073,3718,4676,3150,3052,3402,3715,439,1443,1391,1636,2099,2861,1450,1734,1018,105,2400,2769,2658,2947,2279,3790,2478,2451,1831,3481,2673,2876,3468,2656,1561,1994,2466,1213,1371,1565,1437,1588,1570,1546,729,609,886,571,805,359,1210
"Chordata","Chordata",6161,5245,7357,45286,20724,10563,3982,4095,2635,13255,3211,4722,6568,4130,7464,2584,5217,1816,5868,5350,4058,6994,5072,8000,3733,1378,629,5111,2234,5625,4584,4678,3959,13189,24750,4954,11819,5814,31762,12632,40897,18217,13769,10677,7099,8469,60950,4146,4401,12731,5066,3517,597,1499,16289,653,1481,1446
"Chrysiogenetes","Chrysiogenetes",59,249,31,40,122,NA,66,NA,48,NA,NA,58,108,104,111,97,71,NA,NA,30,48,NA,33,NA,46,39,NA,NA,NA,30,NA,NA,30,52,39,26,NA,NA,44,86,49,NA,NA,50,NA,62,NA,27,27,NA,NA,NA,NA,NA,NA,NA,NA,25
"Chytridiomycota","Chytridiomycota",307,205,222,221,225,112,332,175,220,127,151,409,517,348,273,404,301,26,92,100,74,95,139,63,81,66,NA,184,145,153,323,155,316,183,190,102,237,186,298,258,284,165,225,248,143,142,205,137,135,139,57,NA,29,48,66,34,NA,68
"Coprothermobacterota","Coprothermobacterota",29,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crenarchaeota","Crenarchaeota",123,73,85,157,145,77,105,71,99,52,35,110,162,125,79,135,168,NA,189,184,57,108,72,94,83,25,38,101,29,91,63,29,57,80,76,NA,68,99,107,95,90,70,88,98,NA,29,70,24,39,50,54,96,NA,NA,44,30,NA,28
"Cryptomycota","Cryptomycota",77,NA,NA,NA,52,51,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptophyta","Cryptophyta",NA,NA,NA,52,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanobacteria","Cyanobacteria",7003,3836,4094,4374,4552,3021,5246,2554,3178,2057,2583,5334,7122,4824,4316,4825,6289,832,3930,3342,2452,4018,4368,2619,3363,1525,479,3120,2610,3292,3388,2726,4691,3249,3071,2069,4198,3900,3383,4216,3850,2029,2434,3061,1986,2189,3300,2245,2353,2681,1966,950,824,1068,911,965,456,1353
"Deferribacteres","Deferribacteres",15112,15582,3602,953,13435,4178,246,272,158,138,255,189023,132572,20746,385307,35099,221,55,284,101,99,139,128,280,141,110,50,290,270,274,387,203,372,372,287,479,360,362,212,365,319,132,254,276,52863,31914,2395,62001,65426,40255,44,NA,NA,43,NA,37,NA,42
"Deinococcus.Thermus","Deinococcus.Thermus",2032,1282,946,759,1191,997,1579,1648,1305,1268,1092,1913,2372,2052,1634,2001,679,89,199,335,351,381,581,245,399,166,25,976,2068,1185,913,1229,1724,953,958,1179,1503,1213,844,1274,1020,412,526,906,758,958,797,916,966,978,613,573,301,373,473,432,163,686
"Dictyoglomi","Dictyoglomi",34,24,26,NA,35,NA,24,NA,NA,NA,NA,NA,24,NA,NA,NA,49,NA,NA,NA,28,NA,NA,169,32,NA,NA,NA,NA,25,36,NA,NA,NA,NA,NA,24,NA,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elusimicrobia","Elusimicrobia",1263,763,727,776,964,670,1062,1009,466,663,636,993,1356,784,1036,893,926,143,495,383,353,708,784,553,407,224,43,664,981,886,753,741,1156,782,702,668,1129,923,1019,1023,804,601,612,736,411,470,488,533,564,557,331,92,132,169,121,222,83,336
"Euryarchaeota","Euryarchaeota",1994,1119,1153,1460,1222,902,1750,1118,827,798,965,1596,1883,1199,1314,1275,1517,242,987,882,694,1047,1058,648,809,371,144,989,1137,1132,1124,682,1521,1073,1018,856,1416,1028,1286,1608,1417,636,873,988,884,1027,803,1144,1139,1249,652,210,242,357,231,328,143,455
"Fibrobacteres","Fibrobacteres",801,514,555,348,540,395,553,383,374,328,324,594,816,584,540,557,556,54,292,255,224,241,262,258,334,192,NA,434,447,534,644,328,571,485,470,448,442,371,666,460,358,383,477,435,275,244,367,233,353,282,190,112,84,142,77,103,59,115
"Firmicutes","Firmicutes",5966202,3708758,2739221,2551729,3088645,2839727,6064583,4773663,3772119,4284960,3350553,5511670,4973156,3299192,3490242,2444443,5887851,2624065,3660324,4203416,2957845,9001771,13884004,5297748,3014805,1398038,785539,3700113,2078589,3326063,2828795,3451894,3664510,2690808,2494664,1225075,3998851,3177871,1056531,3278000,2592707,495244,1015222,2088471,1474165,1769323,1807704,2070829,2321806,2468478,1385714,797753,630830,880281,756102,952553,535923,1022868
"Fusobacteria","Fusobacteria",3091,2035,1868,2759,3051,1353,2563,782,1316,709,1138,2457,3198,1705,1874,1877,3847,687,3955,2765,2847,3111,3571,3570,3392,768,578,1597,1683,1602,1792,1369,2369,1568,929,816,2469,1795,764,1914,1460,340,567,1145,1279,1285,1549,1092,1228,1173,819,304,309,606,449,449,194,396
"Gemmatimonadetes","Gemmatimonadetes",1298,757,876,464,797,565,1088,1033,689,660,719,1126,1457,1069,930,1232,703,42,182,309,413,249,314,311,427,194,NA,550,924,763,708,494,788,477,689,604,981,537,1232,884,788,733,772,665,291,340,388,372,392,380,398,230,148,203,204,231,103,293
"Ignavibacteriae","Ignavibacteriae",1075,546,432,895,869,441,769,297,363,292,284,666,799,494,593,435,1024,140,512,279,388,538,639,531,447,296,64,736,462,609,617,353,624,477,287,363,569,462,542,384,359,304,333,367,349,338,422,325,358,307,123,87,67,81,84,131,56,76
"Kiritimatiellaeota","Kiritimatiellaeota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lentisphaerae","Lentisphaerae",1239,600,802,350,653,463,981,672,701,503,540,1012,1309,1003,754,1009,656,65,298,360,423,313,408,374,467,204,30,466,411,531,773,415,860,562,494,445,547,605,479,604,440,206,291,390,306,340,440,355,415,356,399,294,183,186,179,291,119,303
"Microsporidia","Microsporidia",253,164,176,321,250,146,267,136,133,100,160,356,452,249,259,229,371,44,279,153,142,182,179,256,208,91,59,283,169,293,244,200,316,186,152,93,242,187,258,229,303,162,189,234,91,82,194,115,102,161,80,35,48,52,81,28,26,59
"Mucoromycota","Mucoromycota",1612,946,1047,1357,1440,769,1359,500,799,480,787,1378,1795,1012,900,1014,1889,423,2005,1506,887,1656,1744,1424,1291,502,280,918,621,947,1211,776,1203,968,896,455,1185,996,871,1127,1221,576,702,908,594,716,1090,769,810,832,317,163,148,244,396,285,131,245
"Negarnaviricota","Negarnaviricota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nitrospinae","Nitrospinae",273,127,86,222,202,43,129,39,45,25,47,129,123,57,111,67,182,NA,165,48,40,61,107,NA,48,39,27,59,66,49,44,73,89,75,31,NA,67,69,33,112,84,NA,39,45,58,71,89,84,89,88,59,NA,25,33,30,48,NA,51
"Nitrospirae","Nitrospirae",1367,819,609,595,781,471,958,561,673,375,504,979,1257,803,875,803,1032,183,668,598,460,738,815,777,714,313,53,641,627,716,809,632,1009,685,641,529,808,778,999,1018,797,580,638,741,422,404,538,454,491,470,490,279,186,284,184,193,98,318
"Planctomycetes","Planctomycetes",2100,1206,1631,914,1477,852,1664,1314,1244,1012,1131,2012,2529,1771,1595,1898,1320,135,651,567,538,645,810,587,585,335,44,1048,1441,1218,1524,914,1622,1166,1178,867,1391,1257,883,1310,978,488,597,823,478,584,669,685,654,748,697,384,307,370,283,359,159,494
"Proteobacteria","Proteobacteria",274273,241931,190362,130807,248195,150266,226105,146703,115080,110483,117696,225231,252346,185653,193445,165224,126278,16542,56491,49355,59495,67068,87780,43703,61666,35977,5629,145771,173328,166173,164316,170234,209426,142481,166507,143083,203668,155903,159210,171954,145479,87654,107068,137587,86002,115023,105129,98538,106861,105044,72798,30871,27285,39322,28279,39085,19505,50109
"Rhodothermaeota","Rhodothermaeota",107,76,86,58,63,58,96,207,68,130,169,132,108,80,107,125,49,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,91,178,88,128,55,128,89,134,140,143,73,317,105,94,187,236,121,33,35,57,35,42,33,NA,NA,NA,NA,NA,NA,NA,26
"Spirochaetes","Spirochaetes",5614,3051,3437,3709,4176,2626,4444,2156,2515,1468,2226,3995,5072,2881,3162,3012,4625,667,3574,2450,2325,3444,3492,3285,2589,1205,396,2631,2996,2897,3109,2342,3950,2907,2218,1918,3695,3381,3195,3787,2951,1808,2232,2952,1462,1638,2007,1475,1830,1841,1536,683,622,926,588,812,370,1008
"Synergistetes","Synergistetes",1163,590,615,340,588,345,683,220,299,177,267,523,623,309,504,335,580,67,140,248,224,219,359,86,285,150,NA,493,472,571,631,410,716,426,245,199,691,602,498,723,609,268,335,518,274,316,262,308,355,338,337,123,144,253,190,239,87,315
"Tenericutes","Tenericutes",1573,1112,911,1284,1414,825,3886,927,1108,949,813,1745,5319,2427,2245,2905,2166,286,3268,1611,864,1804,1320,1866,999,400,450,659,618,1011,928,759,996,772,1905,716,767,758,545,1039,985,249,462,680,500,516,670,512,447,548,276,376,131,174,143,129,190,141
"Thaumarchaeota","Thaumarchaeota",58,32,29,29,51,NA,32,36,25,NA,31,53,69,47,54,57,148,NA,NA,34,NA,57,85,NA,34,32,NA,31,NA,33,32,29,32,24,57,36,56,58,NA,28,24,NA,NA,28,NA,25,34,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thermodesulfobacteria","Thermodesulfobacteria",63,58,42,81,53,39,69,53,39,NA,35,66,97,60,65,55,83,NA,120,43,28,NA,39,149,34,NA,NA,72,42,60,33,32,115,61,37,27,57,104,105,82,72,63,66,60,NA,NA,37,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,40
"Thermotogae","Thermotogae",910,549,416,843,635,286,532,309,325,309,302,508,805,530,537,511,1212,145,1130,545,496,661,692,771,555,217,156,336,435,373,304,421,515,359,232,344,497,515,303,418,346,206,277,329,377,357,393,369,365,363,148,51,73,95,60,77,51,88
"Verrucomicrobia","Verrucomicrobia",3444,3143,2388,2159,2579,2114,3521,4446,2714,3226,2748,37167,151673,143410,18350,29517,4229431,785693,6541929,8996232,7091323,3470610,3704823,14773918,8972829,240023,823287,119636,79223,136955,156511,350097,27677,56257,104260,611141,2596,18830,24240,4949,14820,102542,89502,44680,37893,64299,61500,78609,62559,89434,84388,103139,13755,16450,59482,15941,20081,9099
"Zoopagomycota","Zoopagomycota",639,286,445,681,620,325,673,206,347,175,355,594,808,334,440,407,696,165,705,528,390,563,585,659,478,187,87,379,238,351,412,346,478,387,379,223,358,441,413,431,502,196,282,311,362,394,542,493,378,534,170,139,88,152,205,130,81,142
