"","phylum","TFZ002_8073","TFZ002_8070","TFZ002_8004","TFZ002_8003","TFZ002_8001","TFZ002_8000","Stahl_21","Stahl_20","Stahl_19","Stahl_18","Stahl_17","Stahl_16","Stahl_15","Stahl_14","Stahl_13","Stahl_12","Stahl_11","Stahl_10","Stahl_09","Stahl_08","Stahl_07","Stahl_06","Stahl_05","Stahl_04","Stahl_03","Stahl_02","Stahl_01","RS0001_1223","RS0001_1222","RS0001_1221","RS0001_1218","RS0001_1206","RS0001_1197","RS0001_1196","RS0001_1181","RS0001_1180","RS0001_1173","RS0001_1171","HG0155_0057","HG0155_0056","HG0155_0055","HG0155_0049","HG0155_0048","HG0155_0047","HG0001_9881","HG0001_9880","HG0001_9879","HG0001_9878","HG0001_9877","HG0001_9876","Geiger_10","Geiger_09","Geiger_08","Geiger_07","Geiger_06","Geiger_05","Geiger_02","Geiger_01"
"Candidatus.Lloydbacteria","Candidatus.Lloydbacteria",31,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,26,25,NA,NA,30,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Magasanikbacteria","Candidatus.Magasanikbacteria",258,146,92,252,208,104,161,58,65,53,101,203,251,118,153,106,390,40,294,110,124,174,221,126,119,72,31,116,67,88,96,85,169,126,72,33,137,121,134,132,123,79,87,110,56,72,83,102,89,121,38,NA,NA,NA,25,33,NA,35
"Candidatus.Margulisbacteria","Candidatus.Margulisbacteria",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,34,44,36,60,NA,66,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Marinimicrobia","Candidatus.Marinimicrobia",113,95,69,76,72,66,120,55,55,28,64,118,188,81,84,87,144,NA,159,140,61,107,89,96,119,NA,NA,62,40,81,146,48,120,112,32,NA,98,104,NA,48,NA,NA,NA,30,53,69,35,36,41,46,38,NA,NA,24,NA,NA,NA,25
"Candidatus.Melainabacteria","Candidatus.Melainabacteria",810,315,381,283,571,266,514,131,208,137,206,327,669,332,433,399,581,83,749,444,375,459,303,945,443,119,70,229,211,259,254,184,295,180,212,122,324,256,193,256,250,60,106,152,375,239,602,318,328,465,143,82,61,79,57,81,43,94
"Candidatus.Moranbacteria","Candidatus.Moranbacteria",248,93,134,84,140,152,169,79,156,99,82,181,306,259,138,222,279,67,283,245,129,280,252,112,162,91,32,63,104,122,104,109,151,105,71,77,135,115,42,112,76,45,40,67,75,105,93,62,100,65,99,76,27,39,31,52,31,57
"Candidatus.Nealsonbacteria","Candidatus.Nealsonbacteria",67,NA,52,NA,30,NA,30,27,38,25,44,80,92,46,38,38,70,NA,114,NA,NA,28,NA,NA,NA,NA,NA,NA,29,25,NA,NA,61,46,26,NA,41,77,33,60,52,NA,NA,29,32,37,35,NA,29,28,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Nomurabacteria","Candidatus.Nomurabacteria",152,84,71,143,111,47,101,84,45,84,72,137,171,96,106,90,105,NA,143,24,NA,29,NA,67,31,NA,NA,70,62,73,124,37,128,79,63,32,155,86,67,107,88,55,42,63,44,42,67,46,57,53,24,NA,NA,NA,NA,NA,NA,27
"Candidatus.Omnitrophica","Candidatus.Omnitrophica",1103,575,681,449,689,456,800,432,426,253,502,726,868,450,567,555,693,82,307,371,399,303,436,331,469,201,24,442,362,473,395,342,549,433,423,288,441,342,1096,742,611,700,725,778,234,238,285,250,297,291,272,164,119,149,105,176,70,194
"Candidatus.Pacebacteria","Candidatus.Pacebacteria",67,27,69,116,61,NA,29,NA,NA,NA,NA,NA,33,NA,30,NA,NA,NA,24,NA,NA,32,NA,NA,NA,NA,NA,44,37,34,35,30,51,NA,25,NA,30,NA,28,30,31,NA,NA,31,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Parcubacteria","Candidatus.Parcubacteria",41,48,46,39,41,NA,40,NA,NA,NA,NA,38,41,33,47,NA,31,NA,45,NA,NA,24,27,42,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,46,NA,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
