"","Species","Abundance","OverallMean","Young.Mean","Old.Mean","Fold.Difference","p_Unadjusted","FDR","HigherIn"
"26","Akkermansia.sp.UNK.MGS.1",0.0031030303030303,23.2727272727273,46.5454545454545,0,2,9.29870257693334e-05,0.0191287595868343,"Young"
"21","Akkermansia.muciniphila",0.650684848484849,4880.13636363636,9650.45454545455,109.818181818182,1.95499380605982,2.8351421540276e-06,0.00408260470179975,"Young"
"999","Mucispirillum.schaedleri",0.932575757575758,6994.31818181818,13186,802.636363636364,1.77048903330626,0.000127581396931242,0.0203585820474592,"Young"
"436","Clostridium.cocleatum",0.0211151515151515,158.363636363636,283.636363636364,33.0909090909091,1.58208955223881,8.11380741021386e-05,0.0191287595868343,"Young"
"741","Faecalibaculum.rodentium",1.86664242424242,13999.8181818182,24683.4545454545,3316.18181818182,1.52625358770893,3.40217058483312e-05,0.0097982512843194,"Young"
"1002","Muribaculum.sp.TLL.A4",1.53847272727273,11538.5454545455,20122.9090909091,2954.18181818182,1.48794554221424,1.13405686161104e-05,0.005443472935733,"Young"
"1171","Prevotella.sp.CAG.1031",0.0684969696969697,513.727272727273,821.727272727273,205.727272727273,1.19907980888338,3.40217058483312e-05,0.0097982512843194,"Young"
"1150","Prevotella.enoeca",0.00398787878787879,29.9090909090909,45.5454545454545,14.2727272727273,1.04559270516717,0.000114938804177301,0.0203585820474592,"Young"
"130","Bacteroidales.bacterium.H3",0.126054545454545,945.409090909091,1388.36363636364,502.454545454545,0.937064281936631,0.000275008788940678,0.0282866182910411,"Young"
"1146","Prevotella.copri",0.0263757575757576,197.818181818182,286.181818181818,109.454545454545,0.893382352941177,0.000394084759409837,0.0378321369033443,"Young"
"167","Bacteroides.fluxus",0.0139030303030303,104.272727272727,51.3636363636364,157.181818181818,-1.01482127288579,1.13405686161104e-05,0.005443472935733,"Old"
"294","Butyricimonas.virosa",0.0140121212121212,105.090909090909,48.9090909090909,161.272727272727,-1.06920415224914,0.000234812818232019,0.0281775381878423,"Old"
"1244","Romboutsia.ilealis",0.00130909090909091,9.81818181818182,2.09090909090909,17.5454545454545,-1.57407407407407,0.00027324772202768,0.0282866182910411,"Old"
"194","Bacteroides.sp.A1C1",0.00184848484848485,13.8636363636364,2.63636363636364,25.0909090909091,-1.61967213114754,0.000202188796873875,0.0264683515907618,"Old"
"199","Bacteroides.sp.AF39.16AC",0.00174545454545455,13.0909090909091,2.36363636363636,23.8181818181818,-1.63888888888889,0.000141379041996244,0.0203585820474592,"Old"
