"Groups","n","Shannon_mean","Shannon_sd","Shannon_cv","Chao1_mean","Chao1_sd","Chao1_cv"
"Y",11,4.02755366675904,0.307663221677413,7.63896020099438,1344.82172373081,65.7613950259583,4.88997120328504
"O",11,3.86940545060158,0.551613515902799,14.2557693409213,1360.2793290301,81.684409219718,6.0049732048755
"RAG1-/-",6,4.47513382373808,0.052366887358153,1.17017477958706,1176.33333333333,136.757693263182,11.6257602660682
"DY",16,3.2521026452575,1.00049250502548,30.7644811422077,1123.27761158971,399.878979462709,35.5993011288442
"DO",15,2.95770555286173,1.07958329588602,36.5007022028096,996.459117173396,288.279269912528,28.9303660274869
