".y." "group1" "group2" "n1" "n2" "statistic" "p" "p.adj" "p.adj.signif"
"1" "Distance" "DY-Y" "Y-RAG1-/-" 72 72 5.28033873845533 1.28945271050302e-07 3.86835813150905e-07 "****"
"2" "Distance" "DY-Y" "DY-RAG1-/-" 72 72 6.06438903598355 1.32456188768398e-09 3.97368566305194e-09 "****"
"3" "Distance" "Y-RAG1-/-" "DY-RAG1-/-" 72 72 0.784050297528215 0.433010597719438 1 "ns"
