"Pathway","MaAsLin2_coef","MaAsLin2_p","MaAsLin2_q"
"PYRIDOXSYN-PWY: PLP biosynthesis I",1.34,0.0988,0.999
"PWY0-845: Superpathway PLP biosynthesis",1.286,0.131,0.999
