"rab.all","rab.win.DO","rab.win.DY","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Species"
-2.57019301863007,-1.37628528127211,-3.69525022045797,-2.65686606792286,4.58605461079048,-0.544161823711148,0.235171729364289,0.0644525755200942,0.980655537532163,0.0327629045384429,0.934464501344295,"Cytophaga.xylanolytica"
-0.587500715332781,0.700322948348472,-1.46167571778066,-2.09076752997622,3.24191198838126,-0.533021689858345,0.259375028315891,0.048204937544562,1,0.028034879619014,0.998857908416389,"Hypholoma.sublateritium"
-3.69490595188699,-2.4655351252168,-5.18692323926069,-3.07961820411913,6.69066934505843,-0.466279215454135,0.292403768731891,0.0925842948398083,0.998278323453897,0.077430666157182,0.986613130080344,"Deinococcus.aquatilis"
-0.825640725732115,0.0193765279315725,-1.46910370962037,-1.71361067881025,3.49905270473471,-0.457154476157856,0.266666693639254,0.0997248646523301,1,0.0300561205143042,1,"Edhazardia.aedis"
-1.16355852161954,-0.449791205159153,-1.73772011043857,-1.65804041059494,3.79895743878922,-0.45054345644549,0.260145709693985,0.105279754560103,1,0.0451769983010301,0.998639152048234,"Lactobacillus.delbrueckii"
-2.1529396548683,-1.00482615179876,-3.12301920173862,-2.36556263955601,4.90989584945429,-0.437601547575058,0.282291690957645,0.1078360991084,0.997501194917329,0.0731109832483784,0.99592253831294,"Eubacterium.sp.TM05.53"
-1.94810190930059,-0.828635096488023,-2.67808626610789,-2.07077333225053,4.86054360938951,-0.409282061780303,0.315296585377343,0.184221854000991,1,0.113093918646327,1,"Prevotella.stercorea.CAG.629"
0.476321378943721,1.18526020449471,-0.49952108213139,-1.95350621074793,4.5934312421279,-0.390417526963876,0.308012507312456,0.146611594938026,1,0.0742037285262813,1,"Lactobacillus.intestinalis"
-1.29007176710606,0.290473072711602,-2.23098393479107,-2.09418549437441,5.17870779798003,-0.38887662509914,0.303125021068323,0.113567227497717,1,0.0899388012190693,1,"Clostridiales.bacterium.GWC2.40.7"
-0.505599570599717,1.7778742696605,-1.9204876584428,-2.85371646888349,6.66977273629777,-0.388748337393905,0.333333350287534,0.161937996562492,1,0.125100231666288,1,"Ruminococcus.sp.AF43.11"
0.0313085640684641,1.03227902318396,-1.88543836519577,-2.34748755494622,5.88472950374422,-0.3884958942695,0.31009367247017,0.131460614161993,1,0.0828078043666505,1,"Variovorax.paradoxus"
0.859447521592504,1.62532086236155,-1.37144241776821,-2.32577408179738,4.97736312735253,-0.382298686120085,0.317377750545193,0.264468545611336,1,0.102614966643517,1,"Enterococcus.mundtii"
-0.640052714886428,0.420091292103606,-1.19092328853305,-1.82359520933494,4.31353980593739,-0.380708861805159,0.318750018868499,0.197134574654888,1,0.0944221623466518,1,"Cryphonectria.radicalis"
-0.625489491713304,0.274507655047131,-1.08677791534695,-1.45364518067115,3.2401640520815,-0.378893392914202,0.289583356454484,0.17377425971752,1,0.0731232709077608,1,"Alistipes.indistinctus"
0.976017405179157,1.31387046669698,-1.17608919311329,-2.42910877177126,5.98435836414902,-0.35333435424506,0.369791679296965,0.211957085558515,1,0.200126385727576,1,"Enterococcus.faecium"
-1.77237951185986,-0.797371204640759,-2.46260227216363,-1.77193239678509,4.38369508829391,-0.351645531944697,0.306250020614778,0.221348994014902,1,0.0997638597859546,0.996875999091286,"Limnochorda.pilosa"
-1.36601930137394,0.534309034069118,-3.99571977756099,-2.62509559939485,7.53026043417148,-0.34344416125001,0.354838723981611,0.181984575267615,1,0.198868217787391,1,"Akkermansia.sp.CAG.344"
0.0616159131710452,1.12198268731551,-1.00400860226361,-1.89748257032997,5.07655821236568,-0.334751104996584,0.342351732757051,0.191505622193671,1,0.147634847980905,1,"Ammoniphilus.sp.CFH.90114"
-0.784909637283307,-0.147139885348743,-1.899360618357,-1.96316803574376,5.30385308673019,-0.332035282738844,0.332291683753613,0.287490194229737,1,0.150400929687053,1,"Prevotella.denticola"
0.767346373607193,1.62653432531706,-0.462036908395918,-1.47418637027705,4.59023498639872,-0.325354183754684,0.353125014535003,0.151882252169999,1,0.17786384931325,1,"Lactobacillus.brevis"
-0.759512944179686,0.320498190072049,-1.06707840597663,-1.47997893298409,4.1194613255107,-0.310347897381993,0.351041681447721,0.21101489367412,1,0.179113282948309,1,"Smittium.mucronatum"
-0.566081236995046,0.275691995576479,-1.10474090094955,-1.22946942796997,3.5586391340821,-0.305902082677528,0.344791682197506,0.252026603626305,1,0.183783617737055,1,"Pectobacterium.carotovorum"
-2.95820474875344,-2.46796621755731,-3.48800700132211,-1.67217439443289,5.07334941109225,-0.303895635461673,0.352083347991126,0.2077323653178,1,0.232797395625426,1,"Lactobacillus.hominis"
-0.901327752071869,0.53087959881462,-1.56307651872315,-1.52616548919111,4.3610821922788,-0.303369182442364,0.357960471798372,0.448406537428478,1,0.1897505918013,1,"Lactobacillus.shenzhenensis"
-0.878176944540413,-0.602863894888328,-1.93503978869338,-1.34651295648534,4.0247181028863,-0.299050905635336,0.360416680354908,0.236208930596149,1,0.212275457142107,1,"Lysobacter.enzymogenes"
-1.11948528780373,-0.709124479864367,-1.45986851316999,-1.50384512887476,4.86963190904848,-0.298728792142132,0.359001054404846,0.220759681455676,1,0.208430075407504,1,"Microcystis.aeruginosa"
-0.243485627567187,0.35340456148607,-0.546863417829905,-1.00457239670011,3.10839465956508,-0.296812436853566,0.339583349503004,0.172788700542867,1,0.179391488345417,1,"Paenibacillus.donghaensis"
